Usuario,Caso,Marcador,Tarjeta,Fecha y hora de transacci—n,Monto,Comercio,Modo de Entrada,Ind Com Elec
999bgsa,162258039,NF,1234567890112139,01/11/21 01:25 PM,20,AME*FARMACIAS DEL,E,7
999bgsa,162258039,NF,1234567890112140,01/11/21 01:25 PM,2048,AME*FARMACIAS DEL,K,
999bgsa,162259245,NF,1234567890112141,01/11/21 01:54 PM,10,AME*DIDI FOOD V,E,7
999bgsa,162261523,NF,1234567890112142,01/11/21 01:49 AM,839,VPASS RECUR MXN,K,0
999bgsa,162261523,NF,1234567890112155,01/11/21 02:51 PM,20,AMAZON PRIME VAL,E,7
999bgsa,162261523,NF,1234567890112158,01/11/21 02:54 PM,20,AMAZON MX,E,7
999bgsa,162261523,NF,1234567890112134,01/11/21 02:54 PM,99,AMAZON MX,E,7
999bgsa,162261523,NF,1234567890112130,01/11/21 03:02 PM,159,AME*DISNEYECOMM,E,7
999agsa,162247567,NF,1234567890112135,01/11/21 08:04 AM,5000,PAYU LA*GOOGLE MX CR,K,
999agsa,162247903,NF,1234567890112136,01/11/21 08:23 AM,79.77,DIST LA PLAZA DEL POLL,V,
999agsa,162247937,NF,1234567890112137,01/11/21 08:25 AM,104.72,STARBUCKS A NORTH IAH,V,
999agsa,162247943,NF,1234567890112138,01/11/21 08:26 AM,2004.48,ST*STRIPE 2,K,0
999agsa,162248157,NF,1234567890112139,01/11/21 08:37 AM,1136,CFE CONTIGO MU,K,0
999agsa,162248189,NF,1234567890112140,01/11/21 08:39 AM,2032,CFE CONTIGO MU,K,0
999agsa,162248241,NF,1234567890112141,01/11/21 08:42 AM,1846,CFE CONTIGO MU,K,0
999agsa,162248511,NF,1234567890112142,01/11/21 08:54 AM,21,MERCADO PAGO 5,E,7
999agsa,162248541,NF,1234567890112155,01/11/21 08:55 AM,50,OP*OPENPAY PAGOSEGURO,E,6
999agsa,162248521,NF,1234567890112158,01/11/21 08:55 AM,3800,OFFICE DEPOT INTERNET,E,7
999agsa,162248557,NF,1234567890112134,01/11/21 08:56 AM,1910.66,WALMART SUPER 1,E,7
999agsa,162248787,NF,1234567890112130,01/11/21 09:04 AM,7531.32,SUC J DE LA HACIENDA 4,V,
999agsa,162249021,NF,1234567890112135,01/11/21 09:15 AM,1,STARBUCKS MX EC,E,7
999agsa,162249105,CNF,1234567890112136,01/11/21 09:18 AM,1000,VIAPASS 2 CR,K,0
999agsa,162249019,NF,1234567890112137,01/11/21 09:14 AM,1033.01,APP TELMEX 2,E,6
999agsa,162249207,NF,1234567890112138,01/11/21 09:21 AM,2437.81,ZOOSHOP (PANTANAL),V,
999agsa,162249289,NF,1234567890112139,01/11/21 09:24 AM,325,MERCADO PAGO 1,E,7
999agsa,162249299,NF,1234567890112140,01/11/21 09:24 AM,998,MERCADO PAGO 4,E,7
999agsa,162249313,NF,1234567890112141,01/11/21 09:25 AM,10,MERCADO PAGO 5,E,7
999agsa,162249373,NF,1234567890112142,01/11/21 09:27 AM,20,TELCEL RECARGAS FONY,K,
999agsa,162249379,CNF,1234567890112155,01/11/21 09:28 AM,1000,VIAPASS 2 CR,K,0
999agsa,162249517,NF,1234567890112158,01/11/21 09:33 AM,210.6,GOOGLE*GSUITE BABILONI,E,7
999agsa,162249327,NF,1234567890112134,01/11/21 09:26 AM,461.97,GOOGLE*GSUITE HOIHO.MX,E,7
999agsa,162249331,NF,1234567890112130,01/11/21 09:26 AM,870.87,GOOGLE*GSUITE CAFFE.OR,E,7
999agsa,162249621,NF,1234567890112135,01/11/21 09:37 AM,58.05,WALLSTREETST2521,V,
999agsa,162183295,NF,1234567890112136,01/11/21 09:42 AM,59.97,PAYPAL *UBER BV,E,7
999agsa,162249629,UNF,1234567890112137,01/11/21 09:37 AM,4862.44,RYANAIR,E,6
999agsa,162249633,CNF,1234567890112138,01/11/21 09:38 AM,1000,VIAPASS 2 CR,K,0
999agsa,162249887,NF,1234567890112139,01/11/21 09:46 AM,713.87,PAYPAL3,K,
999agsa,162249893,NF,1234567890112140,01/11/21 09:47 AM,7224.52,BATEAUXPARISIEN,V,
999agsa,162249409,NF,1234567890112141,01/11/21 09:29 AM,2.25,ST*DIDI,K,0
999agsa,162249409,NF,1234567890112142,01/11/21 09:29 AM,540,D LOCAL*DIDI MOBILITY,E,7
999agsa,162249829,NF,1234567890112155,01/11/21 09:44 AM,1,OP*OPENPAY,E,7
999agsa,162249829,NF,1234567890112158,01/11/21 09:44 AM,510,OP*OPENPAY PAGOSEGURO,E,6
999agsa,162249829,NF,1234567890112134,01/11/21 09:52 AM,510,OP*OPENPAY PAGOSEGURO,E,6
999agsa,162249829,NF,1234567890112130,01/11/21 10:00 AM,2000,PASE MULTIPAGOS CR,E,6
999agsa,162250073,NF,1234567890112135,01/11/21 09:52 AM,269,AMAZON MX MARKETPLACE,E,7
999agsa,162250141,NF,1234567890112136,01/11/21 09:55 AM,1424.61,WALMART SUPER 1,E,7
999agsa,162250029,NF,1234567890112137,01/11/21 09:51 AM,619.98,D LOCAL *GODADDY,K,
999agsa,162250123,NF,1234567890112138,01/11/21 09:55 AM,6137.56,PAYPAL *GEOSURGICAL,E,7
999agsa,162250123,NF,1234567890112139,01/11/21 09:55 AM,6137.56,PAYPAL *GEOSURGICAL,E,7
999agsa,162250367,NF,1234567890112140,01/11/21 10:02 AM,0,AMAZON WEB SERVICES,E,7
999agsa,162250367,NF,1234567890112141,01/11/21 10:02 AM,20.74,Amazon web services,E,7
999agsa,162250261,NF,1234567890112142,01/11/21 09:59 AM,79,AMAZON MX,E,7
999agsa,162250371,NF,1234567890112155,01/11/21 09:40 AM,708.76,MAT GRAFICOS,V,0
999agsa,162250371,NF,1234567890112158,01/11/21 10:02 AM,481.26,ATP SUC CULIACAN 2,V,0
999agsa,162250985,NF,1234567890112134,01/11/21 10:19 AM,5000,PAYU LA*GOOGLE MX CR,K,
999agsa,162250587,NF,1234567890112130,01/11/21 10:09 AM,1098,PAYPAL3,K,
999agsa,162250799,NF,1234567890112135,01/11/21 10:14 AM,0,KATOM RESTA,E,7
999agsa,162250799,NF,1234567890112136,01/11/21 10:17 AM,9330.75,NN* NACHONACHO TOPUP,,2
999agsa,162249611,NF,1234567890112137,01/11/21 09:37 AM,700,PAGO MI TELMEX,E,6
999agsa,162249611,NF,1234567890112138,01/11/21 09:56 AM,576.9,GAS MARA,V,0
999agsa,162250601,CNF,1234567890112139,01/11/21 10:09 AM,3359,PAYPAL *LINKEDIN,E,7
